figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,knowno_gpt4,KnowNo,waste,Waste,123,21.044425,4.017311,207.740201,29.364834,21.044425
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,knowno_gpt4,KnowNo,tomato,Tomato,116,27.857297,4.512035,150.018583,22.613149,27.857297
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,ours,Ours,waste,Waste,17,2.857459,1.513600,5.445600,1.146052,2.857459
policy_compare_total_elapsed_time_failure_only,elapsed_time_failure_only,Elapsed Time,ours,Ours,tomato,Tomato,31,8.070429,1.976200,26.530000,6.518254,8.070429
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,all,All,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,all,All,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,no,No,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,no,No,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,random,Random,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,random,Random,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,knowno_gpt4,KnowNo,waste,Waste,413,2.140436,2.000000,3.500000,0.270090,2.140436
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,knowno_gpt4,KnowNo,tomato,Tomato,425,2.607059,2.000000,4.000000,0.409725,2.607059
